You Young CHEA POSITION,You Young CHEA LAP TIME,You Young CHEA ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,TSOU Mu-Yin POSITION,TSOU Mu-Yin LAP TIME,TSOU Mu-Yin ELAPSED TIME,Mariya ZINCHENKO POSITION,Mariya ZINCHENKO LAP TIME,Mariya ZINCHENKO ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME
2,8.86,8.86,3,8.99,8.99,1,8.77,8.77,5,9.22,9.22,4,9.11,9.11,6,9.44,9.44
2,13.57,22.43,3,13.59,22.58,1,13.57,22.34,5,13.58,22.80,4,13.58,22.69,6,13.67,23.11
2,13.58,36.01,3,13.55,36.13,1,13.56,35.90,5,13.60,36.40,4,13.58,36.27,6,13.49,36.60
2,13.62,49.63,3,13.62,49.75,1,13.61,49.51,5,13.53,49.93,4,13.58,49.85,6,13.61,50.21
2,13.96,1:03.59,3,13.99,1:03.74,1,13.99,1:03.50,5,14.06,1:03.99,4,14.00,1:03.85,6,13.96,1:04.17
3,12.38,1:15.97,2,12.20,1:15.94,4,12.51,1:16.01,6,12.43,1:16.42,5,12.32,1:16.17,1,11.62,1:15.79
3,10.41,1:26.38,4,10.53,1:26.47,2,10.20,1:26.21,6,10.57,1:26.99,5,10.39,1:26.56,1,10.40,1:26.19
3,10.96,1:37.34,5,10.95,1:37.42,2,11.06,1:37.27,6,10.55,1:37.54,4,10.85,1:37.41,1,10.99,1:37.18
4,11.59,1:48.93,3,11.43,1:48.85,2,11.56,1:48.83,6,11.68,1:49.22,5,11.66,1:49.07,1,11.55,1:48.73
3,10.66,1:59.59,4,10.87,1:59.72,2,10.66,1:59.49,6,11.16,2:00.38,5,10.73,1:59.80,1,10.68,1:59.41
3,10.65,2:10.24,4,10.69,2:10.41,2,10.62,2:10.11,6,11.39,2:11.77,5,10.80,2:10.60,1,10.66,2:10.07
3,10.55,2:20.79,4,10.66,2:21.07,2,10.57,2:20.68,6,12.29,2:24.06,5,10.72,2:21.32,1,10.52,2:20.59
2,10.29,2:31.08,4,11.25,2:32.32,3,10.44,2:31.12,6,12.88,2:36.94,5,11.06,2:32.38,1,10.31,2:30.90
2,10.33,2:41.401,5,11.59,2:43.904,3,10.67,2:41.787,6,12.99,2:49.925,4,10.75,2:43.122,1,10.34,2:41.238
