CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
3,13.35,13.35,1,13.21,13.21,4,13.54,13.54,2,13.32,13.32
3,10.49,23.84,1,10.46,23.67,4,10.40,23.94,2,10.41,23.73
3,10.63,34.47,1,10.60,34.27,4,10.63,34.57,2,10.61,34.34
3,10.70,45.17,1,10.71,44.98,4,10.67,45.24,2,10.69,45.03
3,10.13,55.30,2,10.19,55.17,4,10.15,55.39,1,10.05,55.08
3,10.27,1:05.57,2,10.26,1:05.43,4,10.26,1:05.65,1,10.24,1:05.32
2,10.01,1:15.58,3,10.17,1:15.60,4,10.05,1:15.70,1,10.18,1:15.50
1,9.31,1:24.89,4,9.96,1:25.56,2,9.72,1:25.42,3,9.97,1:25.47
1,9.52,1:34.405,4,10.01,1:35.570,2,9.58,1:34.998,3,9.97,1:35.440
