Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME
7,10.00,10.00,1,9.40,9.40,5,9.72,9.72,6,9.85,9.85,2,9.46,9.46,3,9.53,9.53,4,9.61,9.61
7,15.20,25.20,1,15.09,24.49,5,15.23,24.95,6,15.21,25.06,3,15.26,24.72,2,15.04,24.57,4,15.21,24.82
7,15.81,41.01,2,16.10,40.59,5,15.79,40.74,3,15.60,40.66,6,16.13,40.85,4,16.12,40.69,1,15.69,40.51
7,12.55,53.56,2,12.45,53.04,6,12.62,53.36,5,12.54,53.20,1,12.14,52.99,4,12.42,53.11,3,12.56,53.07
7,10.42,1:03.98,2,10.41,1:03.45,5,10.35,1:03.71,6,10.55,1:03.75,1,9.82,1:02.81,3,10.46,1:03.57,4,10.58,1:03.65
7,9.89,1:13.87,2,9.89,1:13.34,5,9.91,1:13.62,6,9.98,1:13.73,1,9.57,1:12.38,3,9.86,1:13.43,4,9.86,1:13.51
7,9.99,1:23.86,2,9.97,1:23.31,5,10.00,1:23.62,6,9.97,1:23.70,1,9.65,1:22.03,3,10.00,1:23.43,4,10.00,1:23.51
7,9.87,1:33.73,2,9.90,1:33.21,4,9.74,1:33.36,6,9.85,1:33.55,1,10.13,1:32.16,3,9.87,1:33.30,5,9.91,1:33.42
7,9.69,1:43.42,2,9.59,1:42.80,4,9.63,1:42.99,6,9.59,1:43.14,1,10.17,1:42.33,3,9.59,1:42.89,5,9.66,1:43.08
7,9.29,1:52.71,1,9.31,1:52.11,3,9.23,1:52.22,6,9.49,1:52.63,2,9.83,1:52.16,4,9.41,1:52.30,5,9.29,1:52.37
6,9.27,2:01.98,1,9.16,2:01.27,2,9.23,2:01.45,7,9.36,2:01.99,5,9.81,2:01.97,4,9.39,2:01.69,3,9.24,2:01.61
5,9.11,2:11.09,1,9.29,2:10.56,2,9.21,2:10.66,6,9.41,2:11.40,7,10.29,2:12.26,4,9.16,2:10.85,3,9.13,2:10.74
5,9.15,2:20.24,2,9.40,2:19.96,1,9.25,2:19.91,6,9.82,2:21.22,7,10.83,2:23.09,4,9.29,2:20.14,3,9.27,2:20.01
5,9.42,2:29.660,2,9.55,2:29.515,1,9.42,2:29.330,6,10.55,2:31.774,7,11.23,2:34.320,3,9.48,2:29.621,4,9.64,2:29.654
