Renata SZOCS POSITION,Renata SZOCS LAP TIME,Renata SZOCS ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Maria ORLOVA POSITION,Maria ORLOVA LAP TIME,Maria ORLOVA ELAPSED TIME
1,13.56,13.56,3,13.78,13.78,5,14.01,14.01,2,13.68,13.68,4,13.90,13.90
1,10.93,24.49,3,10.88,24.66,5,10.86,24.87,2,10.81,24.49,4,10.82,24.72
3,10.25,34.74,2,10.06,34.72,5,10.15,35.02,1,10.15,34.64,4,10.13,34.85
4,10.35,45.09,2,10.16,44.88,5,10.19,45.21,1,10.12,44.76,3,10.12,44.97
4,10.17,55.26,2,10.15,55.03,5,10.22,55.43,1,10.15,54.91,3,10.14,55.11
4,10.31,1:05.57,1,10.10,1:05.13,5,10.25,1:05.68,2,10.25,1:05.16,3,10.16,1:05.27
5,10.77,1:16.34,1,10.11,1:15.24,4,10.66,1:16.34,3,10.47,1:15.63,2,10.20,1:15.47
5,11.16,1:27.50,1,10.30,1:25.54,4,10.39,1:26.73,3,10.77,1:26.40,2,10.08,1:25.55
5,11.58,1:39.074,2,10.58,1:36.120,4,10.78,1:37.505,3,10.94,1:37.338,1,10.33,1:35.880
