Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
4,15.39,15.39,3,15.19,,2,15.02,15.02,1,14.88,14.88
4,12.36,27.75,3,12.41,,2,12.50,27.52,1,12.47,27.35
4,11.84,39.59,3,11.97,,2,11.88,39.40,1,11.92,39.27
3,10.18,49.77,4,10.27,,1,10.15,49.55,2,10.41,49.68
4,10.34,1:00.11,2,10.09,,1,10.33,59.88,3,10.31,59.99
4,9.67,1:09.78,3,9.73,,1,9.53,1:09.41,2,9.57,1:09.56
4,9.45,1:19.23,3,9.41,,1,9.50,1:18.91,2,9.44,1:19.00
4,9.61,1:28.84,2,9.70,,1,9.72,1:28.63,3,9.79,1:28.79
3,27.65,1:56.455,4,30.64,,1,10.05,1:38.669,2,11.63,1:40.409
