BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME
2,7.78,7.78,4,8.45,8.45,1,7.40,7.40,3,7.97,7.97
3,9.79,17.57,4,10.14,18.59,1,9.70,17.10,2,9.46,17.43
3,9.01,26.58,4,9.13,27.72,1,9.25,26.35,2,8.98,26.41
3,9.07,35.65,4,9.28,37.00,2,9.22,35.57,1,9.07,35.48
4,12.02,47.67,3,9.57,46.57,2,9.44,45.01,1,9.34,44.82
