LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,7.06,7.06,1,6.87,6.87,3,7.11,7.11,4,7.19,7.19
2,9.02,16.08,1,9.06,15.93,3,9.10,16.22,4,9.92,17.11
2,8.75,24.83,1,8.85,24.78,3,8.65,24.87,4,8.96,26.08
1,8.66,33.50,2,8.78,33.57,3,8.77,33.64,4,9.04,35.13
1,8.73,42.227,2,9.12,42.689,3,9.10,42.731,4,9.38,44.503
