ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Fumi KITABUKI POSITION,Fumi KITABUKI LAP TIME,Fumi KITABUKI ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME
2,9.13,9.13,1,8.94,8.94,5,9.58,9.58,3,9.26,9.26,4,9.40,9.40
2,13.37,22.50,1,13.42,22.36,5,13.27,22.85,3,13.38,22.64,4,13.36,22.76
3,13.82,36.32,1,13.86,36.22,5,13.91,36.76,2,13.61,36.25,4,13.69,36.45
1,12.83,49.15,4,13.06,49.28,3,12.43,49.19,2,12.91,49.16,5,12.97,49.42
2,12.05,1:01.20,4,12.18,1:01.46,1,11.82,1:01.01,3,12.16,1:01.32,5,12.12,1:01.54
2,12.04,1:13.24,4,12.03,1:13.49,1,12.05,1:13.06,3,12.06,1:13.38,5,12.02,1:13.56
2,11.78,1:25.02,3,11.63,1:25.12,1,11.80,1:24.86,4,11.85,1:25.23,5,11.76,1:25.32
2,11.30,1:36.32,3,11.30,1:36.42,1,11.31,1:36.17,4,11.34,1:36.57,5,11.37,1:36.69
2,11.00,1:47.32,3,11.01,1:47.43,1,10.99,1:47.16,4,11.00,1:47.57,5,11.03,1:47.72
2,10.72,1:58.04,3,10.72,1:58.15,1,10.70,1:57.86,4,10.70,1:58.27,5,10.65,1:58.37
1,9.58,2:07.62,3,9.82,2:07.97,2,9.89,2:07.75,4,9.72,2:07.99,5,10.28,2:08.65
1,9.56,2:17.18,4,9.50,2:17.47,3,9.56,2:17.31,2,9.26,2:17.25,5,10.28,2:18.93
2,9.41,2:26.59,4,9.66,2:27.13,3,9.37,2:26.68,1,9.16,2:26.41,5,10.65,2:29.58
2,9.40,2:35.988,4,10.26,2:37.381,3,9.38,2:36.058,1,9.49,2:35.896,5,10.94,2:40.520
