Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME
4,14.58,14.58,2,14.46,14.46,1,14.33,14.33,3,14.55,14.55
3,10.76,25.34,2,10.79,25.25,1,10.82,25.15,4,10.86,25.41
3,10.63,35.97,2,10.59,35.84,1,10.58,35.73,4,10.65,36.06
3,10.08,46.05,2,10.09,45.93,1,10.09,45.82,4,10.09,46.15
3,9.69,55.74,2,9.70,55.63,1,9.71,55.53,4,9.77,55.92
3,9.51,1:05.25,2,9.54,1:05.17,1,9.54,1:05.07,4,9.52,1:05.44
3,9.57,1:14.82,2,9.57,1:14.74,1,9.50,1:14.57,4,9.76,1:15.20
2,9.74,1:24.56,3,10.11,1:24.85,1,9.75,1:24.32,4,9.92,1:25.12
1,9.58,1:34.132,3,10.39,1:35.239,2,9.88,1:34.198,4,10.22,1:35.338
