SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
3,13.18,13.18,2,13.03,13.03,1,12.97,12.97,4,13.30,13.30
3,10.03,23.21,2,10.16,23.19,1,10.14,23.11,4,9.99,23.29
1,9.02,32.23,4,9.18,32.37,2,9.12,32.23,3,9.00,32.29
1,9.16,41.39,4,9.32,41.69,2,9.28,41.51,3,9.32,41.61
1,9.41,50.80,4,9.43,51.12,2,9.43,50.94,3,9.39,51.00
1,9.33,1:00.13,4,9.39,1:00.51,2,9.31,1:00.25,3,9.26,1:00.26
1,9.26,1:09.39,3,9.08,1:09.59,4,10.31,1:10.56,2,9.24,1:09.50
1,9.27,1:18.66,3,9.23,1:18.82,4,10.20,1:20.76,2,9.23,1:18.73
1,9.33,1:27.983,2,9.26,1:28.079,3,11.03,1:31.788,0,,PEN
