ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
2,12.210,12.210,3,12.430,12.430,1,12.050,12.050,4,12.850,12.850
3,10.110,22.330,2,9.800,22.240,1,9.880,21.940,4,9.810,22.670
3,9.440,31.770,2,9.520,31.760,1,9.450,31.400,4,9.550,32.220
2,9.110,40.880,3,9.370,41.130,1,9.290,40.690,4,9.290,41.520
2,9.440,50.330,3,9.270,50.410,1,9.510,50.200,4,9.730,51.260
2,9.400,59.730,3,9.490,59.910,1,9.430,59.630,4,9.470,1:00.730
2,9.260,1:08.990,3,9.160,1:09.070,1,9.210,1:08.840,4,9.130,1:09.860
2,9.220,1:18.210,3,9.380,1:18.460,1,9.290,1:18.140,4,9.000,1:18.870
3,9.620,1:27.830,2,9.300,1:27.760,1,9.460,1:27.610,4,9.290,1:28.160
2,9.250,1:37.080,3,9.350,1:37.110,1,9.110,1:36.720,4,9.440,1:37.610
2,9.410,1:46.500,3,9.540,1:46.650,1,9.780,1:46.500,4,9.860,1:47.480
3,9.670,1:56.170,2,9.410,1:56.070,1,9.220,1:55.720,4,9.380,1:56.860
3,9.310,2:05.490,2,9.200,2:05.270,1,9.380,2:05.100,4,9.240,2:06.110
3,9.330,2:14.820,1,9.010,2:14.280,2,9.250,2:14.360,4,9.150,2:15.270
3,9.430,2:24.250,1,9.200,2:23.490,2,9.380,2:23.740,4,9.360,2:24.630
3,8.950,2:33.210,1,9.210,2:32.700,2,9.450,2:33.200,4,9.370,2:34.010
3,9.970,2:43.180,1,9.490,2:42.190,2,9.520,2:42.720,4,9.790,2:43.800
3,9.330,2:52.520,1,9.400,2:51.600,2,9.540,2:52.270,4,9.720,2:53.520
2,8.630,3:01.150,1,9.100,3:00.710,3,9.110,3:01.390,4,9.200,3:02.720
3,10.040,3:11.200,1,9.430,3:10.140,2,9.450,3:10.840,4,9.310,3:12.040
3,9.350,3:20.550,1,9.220,3:19.360,2,9.620,3:20.460,4,9.360,3:21.400
3,9.450,3:30.010,1,9.830,3:29.200,2,9.410,3:29.870,4,9.770,3:31.180
3,9.790,3:39.810,1,9.190,3:38.400,2,9.600,3:39.480,4,9.790,3:40.970
3,9.060,3:48.870,1,9.430,3:47.840,2,9.220,3:48.700,4,9.930,3:50.910
2,9.250,3:58.120,1,9.680,3:57.530,3,9.560,3:58.260,4,9.360,4:00.280
2,9.600,4:07.720,1,9.370,4:06.900,3,9.630,4:07.900,4,9.400,4:09.680
3,9.900,4:17.630,1,9.740,4:16.650,2,9.360,4:17.260,4,9.880,4:19.560
