START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
1,8.88,8.88,2,9.04,9.04,4,9.24,9.24,7,9.62,9.62,5,9.36,9.36,9,9.63,9.63,6,9.49,9.49,8,9.63,9.63,3,9.08,9.08,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
3,11.93,20.81,1,11.71,20.75,6,11.84,21.08,5,11.41,21.03,7,11.85,21.21,9,11.83,21.46,4,11.44,20.93,8,11.74,21.37,2,11.68,20.76,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
3,10.97,31.78,2,10.90,31.65,6,11.04,32.12,1,10.60,31.63,7,11.02,32.23,9,11.00,32.46,5,11.08,32.01,8,11.04,32.41,4,11.14,31.90,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
3,10.35,42.13,2,10.39,42.04,6,10.28,42.40,1,10.28,41.91,7,10.29,42.52,9,10.34,42.80,5,10.31,42.32,8,10.25,42.66,4,10.31,42.21,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
3,10.69,52.82,2,10.68,52.72,6,10.62,53.02,1,10.74,52.65,7,10.63,53.15,9,10.52,53.32,5,10.64,52.96,8,10.57,53.23,4,10.64,52.85,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
3,11.45,1:04.27,2,11.46,1:04.18,6,11.46,1:04.48,1,11.39,1:04.04,8,11.56,1:04.71,7,11.24,1:04.56,5,11.48,1:04.44,9,11.52,1:04.75,4,11.49,1:04.34,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
4,11.32,1:15.59,1,11.07,1:15.25,7,11.48,1:15.96,6,11.87,1:15.91,9,11.35,1:16.06,5,11.27,1:15.83,3,10.97,1:15.41,8,11.27,1:16.02,2,10.99,1:15.33,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
,,,1,10.33,1:25.58,5,10.48,1:26.44,7,11.80,1:27.71,6,10.50,1:26.56,3,10.12,1:25.95,8,25.70,1:41.11,4,10.26,1:26.28,2,10.50,1:25.83,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
,,,1,11.87,1:37.45,5,11.68,1:38.12,7,12.99,1:40.70,6,11.67,1:38.23,3,11.70,1:37.65,8,20.38,2:01.49,4,11.56,1:37.84,2,11.71,1:37.54,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
,,,1,10.12,1:47.57,6,10.16,1:48.28,7,11.71,1:52.41,5,10.03,1:48.26,3,10.15,1:47.80,8,11.78,2:13.27,4,9.98,1:47.82,2,10.13,1:47.67,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
,,,1,10.50,1:58.07,6,11.50,1:59.78,7,12.76,2:05.17,5,10.42,1:58.68,4,10.63,1:58.43,8,12.28,2:25.55,3,10.54,1:58.36,2,10.56,1:58.23,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
,,,1,10.26,2:08.33,6,11.89,2:11.67,7,12.85,2:18.02,5,10.30,2:08.98,3,10.15,2:08.58,8,12.47,2:38.02,4,10.24,2:08.60,2,10.20,2:08.43,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
,,,1,10.27,2:18.60,6,12.48,2:24.15,7,13.83,2:31.85,5,10.64,2:19.62,4,10.43,2:19.01,8,12.63,2:50.65,3,10.33,2:18.93,2,10.36,2:18.79,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
0,,DNF,1,10.04,2:28.639,6,12.40,2:36.545,7,12.89,2:44.733,5,11.09,2:30.701,4,10.54,2:29.544,8,12.97,3:03.619,3,10.41,2:29.338,2,10.25,2:29.039,2010-2011,"ISU World Cup 2010/2011, CHN, Changchun",1500m,w,RepFinalA,1
