Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME
1,13.13,13.13,3,13.23,13.23,2,13.15,13.15,4,13.36,13.36
2,9.86,22.99,3,9.87,23.10,1,9.72,22.87,4,9.82,23.18
2,9.91,32.90,3,9.92,33.02,1,9.90,32.77,4,9.94,33.12
2,9.50,42.40,3,9.48,42.50,1,9.51,42.28,4,9.50,42.62
2,9.29,51.69,3,9.29,51.79,1,9.32,51.60,4,9.29,51.91
2,9.23,1:00.92,4,9.36,1:01.15,1,9.18,1:00.78,3,9.17,1:01.08
2,9.09,1:10.01,4,9.33,1:10.48,1,9.14,1:09.92,3,9.39,1:10.47
2,9.39,1:19.40,4,12.78,1:23.26,1,9.35,1:19.27,3,10.88,1:21.35
2,9.66,1:29.053,0,,PEN,1,9.59,1:28.859,3,11.18,1:32.526
