MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME
2,13.67,13.67,1,13.57,13.57,3,13.74,13.74,4,13.80,13.80,4,13.80,13.80
3,10.20,23.87,2,10.23,23.80,4,10.21,23.95,5,10.16,23.96,1,9.94,23.74
3,10.53,34.40,2,10.58,34.38,5,10.71,34.66,4,10.63,34.59,1,10.58,34.32
2,10.14,44.54,3,10.18,44.56,5,10.18,44.84,4,10.15,44.74,1,10.14,44.46
3,9.98,54.52,1,9.69,54.25,5,9.92,54.76,4,9.93,54.67,2,9.96,54.42
3,9.54,1:04.06,1,9.51,1:03.76,5,9.73,1:04.49,4,9.81,1:04.48,2,9.56,1:03.98
3,9.49,1:13.55,1,9.57,1:13.33,4,9.50,1:13.99,5,10.35,1:14.83,2,9.48,1:13.46
3,9.73,1:23.28,1,9.75,1:23.08,4,9.68,1:23.67,5,11.00,1:25.83,2,9.73,1:23.19
0,,PHOTO,3,10.23,1:33.31,4,9.87,1:33.54,5,11.75,1:37.58,0,,PHOTO
