SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Melle van 'T WOUT POSITION,Melle van 'T WOUT LAP TIME,Melle van 'T WOUT ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME
1,6.73,6.73,3,7.11,7.11,2,6.89,,4,7.21,7.21,5,7.34,7.34
1,8.69,15.42,3,8.68,15.79,2,8.66,,4,8.74,15.95,5,8.70,16.04
2,8.46,23.88,3,8.22,24.01,1,8.32,,4,8.22,24.17,5,8.31,24.35
4,8.87,32.75,2,8.64,32.65,1,8.65,,3,8.56,32.73,5,8.52,32.87
5,9.31,42.06,2,8.82,41.47,1,8.78,,2,8.84,41.578,3,8.99,41.863
