Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
3,8.82,8.82,4,8.96,8.96,2,8.71,8.71,1,8.61,8.61,5,8.97,8.97
3,13.11,21.93,4,13.12,22.08,2,13.08,21.79,1,13.10,21.71,5,13.26,22.23
3,12.47,34.40,4,12.46,34.54,2,12.50,34.29,1,12.48,34.19,5,12.33,34.56
4,11.79,46.19,5,11.78,46.32,3,11.78,46.07,2,11.79,45.98,1,11.31,45.87
1,10.43,56.62,5,10.75,57.07,4,10.90,56.97,3,10.89,56.87,2,10.89,56.76
1,10.59,1:07.21,5,10.55,1:07.62,3,10.48,1:07.45,4,10.63,1:07.50,2,10.60,1:07.36
1,10.03,1:17.24,5,10.16,1:17.78,3,10.06,1:17.51,4,10.14,1:17.64,2,10.03,1:17.39
1,9.65,1:26.89,5,9.55,1:27.33,3,9.58,1:27.09,4,9.57,1:27.21,2,9.63,1:27.02
1,9.98,1:36.87,5,9.93,1:37.26,3,9.96,1:37.05,4,9.95,1:37.16,2,9.95,1:36.97
1,10.04,1:46.91,5,10.12,1:47.38,3,10.13,1:47.18,4,10.13,1:47.29,2,10.13,1:47.10
1,9.56,1:56.47,5,9.50,1:56.88,2,9.41,1:56.59,4,9.45,1:56.74,3,9.55,1:56.65
2,9.85,2:06.32,5,9.69,2:06.57,1,9.53,2:06.12,4,9.70,2:06.44,3,9.77,2:06.42
3,9.56,2:15.88,5,10.40,2:16.97,1,9.46,2:15.58,2,9.23,2:15.67,4,10.26,2:16.68
3,9.62,2:25.495,0,,PEN,1,9.51,2:25.086,2,9.57,2:25.239,4,10.50,2:27.175
