Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,13.27,13.27,2,13.25,13.25,1,13.16,13.16,4,13.39,13.39
3,9.75,23.02,1,9.46,22.71,2,9.74,22.90,4,9.77,23.16
3,9.34,32.36,1,9.47,32.18,2,9.37,32.27,4,9.29,32.45
3,9.49,41.85,1,9.51,41.69,2,9.49,41.76,4,9.48,41.93
3,9.63,51.48,1,9.61,51.30,2,9.62,51.38,4,9.64,51.57
3,9.55,1:01.03,1,9.62,1:00.92,2,9.59,1:00.97,4,9.59,1:01.16
1,9.29,1:10.32,2,9.48,1:10.40,3,9.55,1:10.52,4,9.50,1:10.66
1,9.24,1:19.56,2,9.55,1:19.95,3,9.53,1:20.05,4,9.59,1:20.25
1,9.41,1:28.962,2,9.82,1:29.762,3,9.77,1:29.817,4,9.88,1:30.124
