Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Dejan HORVACKI POSITION,Dejan HORVACKI LAP TIME,Dejan HORVACKI ELAPSED TIME,Alexander ZHELEZNOV POSITION,Alexander ZHELEZNOV LAP TIME,Alexander ZHELEZNOV ELAPSED TIME
1,12.544,12.544,3,12.732,12.732,5,13.880,13.880,4,13.739,13.739,2,12.650,12.650
1,9.702,22.246,2,9.711,22.443,4,9.856,23.736,5,10.766,24.505,3,9.988,22.637
1,9.542,31.788,2,9.506,31.949,4,9.012,32.748,5,10.583,35.088,3,9.523,32.160
1,9.645,41.432,2,9.718,41.666,4,9.162,41.909,5,10.776,45.864,3,9.609,41.769
1,9.756,51.188,2,9.701,51.367,4,9.760,51.669,5,11.022,56.886,3,9.728,51.497
2,9.921,1:01.110,1,9.564,1:00.931,3,9.462,1:01.131,5,11.065,1:07.951,4,9.694,1:01.191
3,9.849,1:10.958,1,9.746,1:10.677,2,9.790,1:10.921,5,12.107,1:20.057,4,10.003,1:11.194
4,10.836,1:21.794,2,9.970,1:20.647,1,9.665,1:20.586,5,13.426,1:33.483,3,10.392,1:21.586
4,11.175,1:32.969,2,10.481,1:31.128,1,9.858,1:30.445,5,12.252,1:45.735,3,10.644,1:32.230
