KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
3,9.80,9.80,2,9.65,9.65,6,10.10,10.10,4,9.92,9.92,1,9.57,,7,10.25,10.25,5,9.95,9.95
2,12.93,22.73,2,13.08,22.73,6,13.19,23.29,4,12.99,22.91,1,13.03,,7,13.19,23.44,5,13.13,23.08
3,11.52,34.25,2,11.43,34.16,6,11.33,34.62,1,11.13,34.04,4,11.67,,7,11.31,34.75,5,11.32,34.40
4,11.45,45.70,2,11.33,45.49,6,11.28,45.90,3,11.56,45.60,1,11.17,,7,11.27,46.02,5,11.37,45.77
4,10.87,56.57,1,10.77,56.26,6,10.87,56.77,3,10.81,56.41,2,10.83,,7,10.86,56.88,5,10.90,56.67
4,10.34,1:06.91,1,10.36,1:06.62,6,10.39,1:07.16,2,10.31,1:06.72,3,10.55,,7,10.40,1:07.28,5,10.32,1:06.99
3,9.94,1:16.85,1,10.11,1:16.73,6,9.98,1:17.14,4,10.16,1:16.88,2,9.98,,7,10.00,1:17.28,5,10.01,1:17.00
1,9.19,1:26.04,2,9.45,1:26.18,6,9.53,1:26.67,4,9.55,1:26.43,3,9.53,,7,9.56,1:26.84,5,9.44,1:26.44
1,9.50,1:35.54,1,9.36,1:35.54,5,9.23,1:35.90,4,9.37,1:35.80,3,9.38,,7,9.24,1:36.08,6,9.48,1:35.92
2,9.18,1:44.72,1,9.09,1:44.63,5,9.23,1:45.13,4,9.13,1:44.93,3,9.13,,6,9.27,1:45.35,7,28.49,2:04.41
2,9.18,1:53.90,1,9.20,1:53.83,5,9.13,1:54.26,4,9.13,1:54.06,3,9.09,,6,9.02,1:54.37,7,18.04,2:22.45
2,9.38,2:03.28,1,9.44,2:03.27,5,10.97,2:05.23,3,9.89,2:03.95,6,39.55,,4,9.84,2:04.21,7,15.48,2:37.93
1,9.59,2:12.87,2,9.69,2:12.96,5,10.73,2:15.96,3,9.24,2:13.19,6,13.33,,4,9.64,2:13.85,7,11.68,2:49.61
1,9.82,2:22.69,0,9.83,2:22.79,5,12.06,2:28.023,0,9.63,2:22.82,6,12.49,,4,10.32,2:24.17,6,11.04,3:00.658
