Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
2,13.26,13.26,1,13.16,13.16,4,13.49,13.49,3,13.37,13.37
2,10.04,23.30,1,10.06,23.22,4,10.03,23.52,3,10.04,23.41
2,9.89,33.19,1,9.87,33.09,3,9.77,33.29,3,9.88,33.29
4,9.51,42.70,2,9.40,42.49,1,9.12,42.41,3,9.31,42.60
4,9.07,51.77,3,9.21,51.70,2,9.19,51.60,1,8.95,51.55
3,8.99,1:00.76,4,9.34,1:01.04,2,8.92,1:00.52,1,8.74,1:00.29
3,9.06,1:09.82,4,9.31,1:10.35,2,8.86,1:09.38,1,8.90,1:09.19
3,9.32,1:19.14,4,9.51,1:19.86,2,8.97,1:18.35,1,8.99,1:18.18
3,9.76,1:28.885,4,9.82,1:29.661,2,9.26,1:27.598,1,9.14,1:27.303
