LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
1,6.79,6.79,2,6.90,6.90,3,7.02,7.02,4,7.13,7.13
1,9.03,15.82,2,9.05,15.95,3,9.05,16.07,4,9.01,16.14
1,8.38,24.20,2,8.38,24.33,3,8.37,24.44,4,8.46,24.60
1,8.50,32.70,2,8.47,32.80,3,8.51,32.95,4,8.56,33.16
4,27.83,1:00.523,1,8.78,41.576,2,8.87,41.812,3,8.78,41.931
