Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
2,7.46,7.46,1,7.19,7.19,3,7.63,7.63
2,9.96,17.42,1,9.34,16.53,3,9.82,17.45
2,9.51,26.93,1,9.03,25.56,3,9.52,26.97
2,9.73,36.66,1,9.08,34.64,3,9.79,36.76
3,10.11,46.763,1,9.30,43.934,2,9.98,46.733
