Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
0,9.935,9.935,0,9.459,9.459,0,9.255,9.255,0,10.471,10.471,0,9.787,9.787
0,12.761,22.696,0,12.737,22.196,0,12.945,22.200,0,11.611,22.082,0,12.757,22.543
0,10.812,33.507,0,10.914,33.110,0,10.965,33.165,0,11.130,33.212,0,10.659,33.202
0,11.061,44.569,0,11.262,44.372,0,11.080,44.246,0,11.063,44.275,0,11.238,44.440
0,11.349,55.918,0,11.022,55.394,0,10.906,55.152,0,11.559,55.834,0,11.012,55.452
0,9.894,1:05.812,0,9.860,1:05.254,0,10.050,1:05.202,0,9.962,1:05.796,0,9.888,1:05.340
0,9.449,1:15.261,0,9.841,1:15.095,0,9.963,1:15.164,0,9.722,1:15.518,0,9.971,1:15.311
0,10.443,1:25.704,0,10.115,1:25.210,0,10.139,1:25.304,0,10.237,1:25.754,0,10.019,1:25.330
0,10.091,1:35.795,0,10.072,1:35.283,0,10.008,1:35.312,0,9.949,1:35.704,0,10.151,1:35.480
0,9.696,1:45.491,0,9.651,1:44.933,0,9.593,1:44.904,0,9.767,1:45.471,0,9.690,1:45.170
0,9.545,1:55.036,0,9.604,1:54.537,0,9.576,1:54.480,0,9.436,1:54.907,0,9.465,1:54.635
0,9.497,2:04.533,0,9.716,2:04.253,0,9.675,2:04.155,0,9.897,2:04.804,0,9.730,2:04.364
0,9.402,2:13.935,0,9.644,2:13.897,0,9.675,2:13.830,0,9.650,2:14.454,0,9.740,2:14.104
0,9.679,2:23.614,0,9.849,2:23.746,0,9.823,2:23.652,0,9.829,2:24.283,0,9.820,2:23.924
