JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME
2,13.42,13.42,3,13.57,13.57,4,16.31,16.31,1,13.28,13.28
1,9.81,23.24,3,9.75,23.32,4,7.04,23.36,2,9.98,23.26
3,10.07,33.32,2,9.97,33.30,1,9.85,33.22,4,10.28,33.55
3,9.89,43.21,2,9.72,43.02,1,9.68,42.90,4,9.74,43.29
2,9.62,52.83,3,9.89,52.91,1,9.65,52.56,4,10.47,53.76
2,9.90,1:02.74,3,9.83,1:02.75,1,10.06,1:02.62,4,9.07,1:02.84
3,9.60,1:12.34,2,9.57,1:12.32,1,9.45,1:12.08,4,9.69,1:12.53
4,9.45,1:21.80,2,9.24,1:21.57,1,9.43,1:21.51,3,9.24,1:21.78
0,,DQ,3,10.85,1:32.414,1,9.58,1:31.082,2,10.06,1:31.836
