Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
1,8.70,8.70,5,9.13,9.13,6,9.36,9.36,4,9.11,9.11,2,8.72,8.72,3,9.04,9.04
3,11.25,19.95,1,10.57,19.70,6,11.11,20.47,5,11.23,20.35,2,11.11,19.84,4,11.20,20.24
3,10.77,30.72,1,10.74,30.44,6,10.68,31.16,4,10.48,30.84,2,10.70,30.54,5,10.64,30.89
4,10.98,41.71,1,11.01,41.46,6,10.91,42.07,5,10.89,41.73,2,11.09,41.63,3,10.76,41.65
5,10.50,52.21,4,10.69,52.15,6,10.35,52.42,1,9.83,51.56,3,10.32,51.96,2,10.24,51.90
5,10.14,1:02.36,3,10.09,1:02.24,6,10.21,1:02.63,1,10.51,1:02.08,2,10.27,1:02.23,4,10.35,1:02.26
5,10.46,1:12.82,4,10.46,1:12.71,6,10.43,1:13.07,1,10.49,1:12.58,3,10.46,1:12.69,2,10.35,1:12.61
4,10.06,1:22.88,1,9.94,1:22.65,6,9.91,1:22.98,3,10.13,1:22.71,5,10.26,1:22.95,2,10.05,1:22.66
5,10.33,1:33.21,2,10.33,1:32.98,6,10.50,1:33.48,1,10.05,1:32.76,4,10.18,1:33.14,3,10.36,1:33.02
5,10.30,1:43.52,2,10.33,1:43.32,6,10.26,1:43.74,1,10.34,1:43.10,4,10.24,1:43.38,3,10.35,1:43.37
5,10.33,1:53.85,2,10.27,1:53.59,6,10.25,1:54.00,1,10.33,1:53.43,4,10.26,1:53.65,3,10.26,1:53.64
3,9.92,2:03.77,4,10.18,2:03.78,6,10.18,2:04.18,1,10.18,2:03.62,5,10.19,2:03.84,2,10.00,2:03.64
3,10.10,2:13.87,4,10.08,2:13.87,6,10.19,2:14.38,1,10.08,2:13.70,5,10.34,2:14.19,2,10.21,2:13.86
4,10.60,2:24.466,3,10.56,2:24.422,5,10.28,2:24.652,1,10.39,2:24.089,6,11.25,2:25.431,2,10.40,2:24.254
