Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME
1,13.06,13.06,2,13.12,13.12,3,13.23,13.23,4,13.28,13.28
1,10.43,23.49,2,10.44,23.56,3,10.47,23.70,4,10.50,23.78
1,10.35,33.84,2,10.35,33.91,3,10.34,34.04,4,10.36,34.14
2,10.42,44.26,1,10.34,44.25,3,10.40,44.44,4,10.42,44.56
2,9.83,54.09,1,9.63,53.88,3,9.76,54.20,4,9.75,54.31
2,9.54,1:03.63,1,9.65,1:03.53,3,9.50,1:03.70,4,9.49,1:03.80
3,9.63,1:13.26,1,9.65,1:13.18,2,9.51,1:13.21,4,9.58,1:13.38
4,10.14,1:23.40,1,9.91,1:23.09,2,9.92,1:23.13,3,9.85,1:23.23
4,10.76,1:34.159,3,10.28,1:33.362,1,9.95,1:33.071,2,9.94,1:33.169
