WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
1,8.74,8.74,2,8.89,8.89,3,9.10,9.10,7,9.60,9.60,6,9.40,9.40,5,9.33,9.33,4,9.22,9.22
1,11.16,19.90,2,11.11,20.00,5,11.16,20.26,7,10.88,20.48,6,10.98,20.38,3,10.79,20.12,4,10.91,20.13
2,9.72,29.62,4,9.88,29.88,6,9.99,30.25,7,9.90,30.38,5,9.70,30.08,1,9.45,29.57,3,9.70,29.83
3,9.75,39.37,2,9.48,39.36,6,9.39,39.64,7,9.35,39.73,5,9.47,39.55,1,9.69,39.26,4,9.60,39.43
3,9.87,49.24,2,9.81,49.17,5,9.69,49.33,7,9.82,49.55,6,9.90,49.45,1,9.80,49.06,3,9.81,49.24
1,9.16,58.40,3,9.50,58.67,5,9.55,58.88,7,9.54,59.09,6,9.54,58.99,2,9.45,58.51,4,9.51,58.75
2,9.19,1:07.59,3,9.15,1:07.82,5,9.18,1:08.06,7,9.20,1:08.29,6,9.15,1:08.14,1,8.99,1:07.50,4,9.11,1:07.86
2,9.21,1:16.80,4,9.18,1:17.00,6,9.17,1:17.23,7,9.03,1:17.32,5,8.97,1:17.11,1,9.22,1:16.72,3,9.05,1:16.91
2,9.40,1:26.20,4,9.39,1:26.39,6,9.35,1:26.58,7,9.39,1:26.71,5,9.35,1:26.46,1,9.40,1:26.12,3,9.38,1:26.29
2,9.49,1:35.69,4,9.54,1:35.93,5,9.51,1:36.09,7,9.55,1:36.26,6,9.77,1:36.23,1,9.50,1:35.62,3,9.49,1:35.78
2,9.37,1:45.06,4,9.37,1:45.30,5,9.48,1:45.57,6,9.33,1:45.59,7,10.05,1:46.28,1,9.31,1:44.93,3,9.30,1:45.08
3,9.45,1:54.51,5,9.55,1:54.85,6,9.61,1:55.18,4,9.00,1:54.59,7,11.05,1:57.33,1,9.19,1:54.12,2,9.14,1:54.22
4,9.46,2:03.97,5,10.39,2:05.24,6,10.08,2:05.26,3,9.01,2:03.60,7,11.96,2:09.29,1,9.27,2:03.39,2,9.30,2:03.52
4,9.70,2:13.67,6,11.48,2:16.72,5,10.27,2:15.53,3,9.43,2:13.03,7,12.75,2:22.04,1,9.39,2:12.78,2,9.40,2:12.92
