Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,8.37,8.37,4,8.46,8.46,2,8.42,8.42,5,8.65,8.65,6,8.77,8.77,3,8.43,8.43,7,8.95,8.95
2,10.17,18.54,4,10.32,18.78,5,10.57,18.99,3,10.10,18.75,6,10.36,19.13,1,9.86,18.29,7,10.31,19.26
2,9.26,27.80,4,9.21,27.99,5,9.22,28.21,3,9.16,27.91,6,9.17,28.30,1,9.41,27.70,7,9.18,28.44
2,10.07,37.87,5,10.00,37.99,4,9.78,37.99,3,10.01,37.92,6,9.78,38.08,1,10.08,37.78,7,9.70,38.14
3,10.11,47.98,2,9.85,47.84,6,10.34,48.33,1,9.80,47.72,7,10.42,48.50,4,10.33,48.11,5,10.07,48.21
3,9.81,57.79,2,9.86,57.70,6,9.78,58.11,1,9.89,57.61,7,9.71,58.21,4,9.77,57.88,5,9.80,58.01
2,9.63,1:07.42,3,9.75,1:07.45,6,9.78,1:07.89,1,9.76,1:07.37,7,9.79,1:08.00,4,9.77,1:07.65,5,9.81,1:07.82
3,9.60,1:17.02,2,9.48,1:16.93,6,9.36,1:17.25,1,9.50,1:16.87,7,9.35,1:17.35,5,9.44,1:17.09,4,9.26,1:17.08
3,9.72,1:26.74,2,9.69,1:26.62,4,9.60,1:26.85,1,9.66,1:26.53,7,9.77,1:27.12,5,9.84,1:26.93,6,9.94,1:27.02
3,9.41,1:36.15,2,9.43,1:36.05,4,9.40,1:36.25,1,9.44,1:35.97,6,9.50,1:36.62,7,9.81,1:36.74,5,9.45,1:36.47
3,9.34,1:45.49,2,9.35,1:45.40,4,9.37,1:45.62,1,9.34,1:45.31,5,9.27,1:45.89,7,9.79,1:46.53,6,9.46,1:45.93
3,9.39,1:54.88,2,9.37,1:54.77,4,9.37,1:54.99,1,9.33,1:54.64,5,9.22,1:55.11,7,10.12,1:56.65,6,9.44,1:55.37
3,9.53,2:04.41,2,9.51,2:04.28,4,9.44,2:04.43,1,9.48,2:04.12,5,9.45,2:04.56,7,10.75,2:07.40,6,9.77,2:05.14
4,9.80,2:14.209,2,9.52,2:13.800,3,9.49,2:13.917,1,9.60,2:13.718,6,10.59,2:15.144,7,11.67,2:19.063,5,10.00,2:15.135
