Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME
5,9.82,9.82,4,9.61,9.61,2,9.21,9.21,3,9.39,,6,9.95,9.95,1,9.13,9.13
5,12.72,22.54,4,12.78,22.39,2,12.87,22.08,3,12.84,,6,12.68,22.63,1,12.85,21.98
5,13.02,35.56,4,13.02,35.41,2,12.92,35.00,3,12.92,,6,13.03,35.66,1,12.91,34.89
5,12.48,48.04,4,12.38,47.79,1,12.43,47.43,2,12.34,,6,12.48,48.14,3,12.66,47.55
5,11.38,59.42,4,11.49,59.28,1,11.42,58.85,2,11.40,,6,11.37,59.51,3,11.45,59.00
1,10.56,1:09.98,6,11.06,1:10.34,2,11.14,1:09.99,3,11.21,,4,10.60,1:10.11,5,11.26,1:10.26
2,9.86,1:19.84,5,9.67,1:20.01,3,9.95,1:19.94,3,9.84,,1,9.60,1:19.71,6,9.89,1:20.15
3,9.82,1:29.66,1,9.50,1:29.51,5,9.88,1:29.82,4,9.83,,2,9.88,1:29.59,6,9.77,1:29.92
3,9.67,1:39.33,1,9.65,1:39.16,4,9.62,1:39.44,5,9.74,,2,9.67,1:39.26,6,9.92,1:39.84
2,9.72,1:49.05,1,9.82,1:48.98,4,9.75,1:49.19,5,9.83,,3,9.80,1:49.06,6,10.01,1:49.85
1,9.38,1:58.43,2,9.80,1:58.78,4,9.76,1:58.95,5,9.72,,3,9.83,1:58.89,6,10.44,2:00.29
1,9.64,2:08.07,2,9.85,2:08.63,5,9.87,2:08.82,4,9.75,,3,9.82,2:08.71,6,10.96,2:11.25
1,9.66,2:17.73,2,10.08,2:18.71,3,10.38,2:19.20,5,10.78,,4,10.61,2:19.32,6,11.44,2:22.69
1,9.91,2:27.618,2,10.46,2:29.137,3,10.45,2:29.624,5,11.50,,4,10.70,2:30.010,5,12.02,2:34.685
