Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,7.05,7.05,1,6.88,6.88,4,7.19,7.19,3,7.12,7.12
2,9.36,16.41,1,9.37,16.25,4,9.55,16.74,3,9.40,16.52
2,8.68,25.09,1,8.75,25.00,4,8.63,25.37,3,8.67,25.19
2,8.97,34.06,1,8.95,33.95,4,8.94,34.31,3,8.98,34.17
3,9.14,43.193,1,9.08,43.030,4,9.04,43.350,2,8.94,43.107
