Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,GONG Li POSITION,GONG Li LAP TIME,GONG Li ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Anna BEISER POSITION,Anna BEISER LAP TIME,Anna BEISER ELAPSED TIME
4,13.81,13.81,2,13.70,13.70,3,13.74,13.74,5,13.94,13.94,1,13.59,13.59,6,14.07,14.07
4,9.89,23.70,3,9.87,23.57,1,9.60,23.34,5,9.88,23.82,2,9.87,23.46,6,9.91,23.98
4,9.55,33.25,1,9.38,32.95,3,9.74,33.08,5,9.53,33.35,2,9.60,33.06,6,9.50,33.48
4,9.63,42.88,1,9.66,42.61,3,9.70,42.78,5,9.64,42.99,2,9.64,42.70,6,9.65,43.13
4,9.75,52.63,2,9.72,52.33,3,9.72,52.50,5,9.75,52.74,1,9.61,52.31,6,9.86,52.99
4,9.45,1:02.08,2,9.54,1:01.87,3,9.50,1:02.00,5,9.50,1:02.24,1,9.45,1:01.76,6,9.97,1:02.96
4,9.46,1:11.54,2,9.46,1:11.33,3,9.43,1:11.43,5,9.49,1:11.73,1,9.44,1:11.20,6,10.19,1:13.15
4,9.45,1:20.99,2,9.54,1:20.87,3,9.54,1:20.97,5,9.60,1:21.33,1,9.55,1:20.75,6,10.53,1:23.68
0,,PHOTO,3,9.70,1:30.57,4,9.67,1:30.625,5,9.80,1:31.121,0,,PHOTO,6,10.79,1:34.454
