Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
2,13.58,13.58,1,13.44,13.44,4,13.66,13.66,5,13.99,13.99,3,13.65,
2,10.69,24.27,1,10.70,24.14,4,10.82,24.48,5,10.59,24.58,3,10.71,
2,10.63,34.90,1,10.62,34.76,3,10.49,34.97,5,10.55,35.13,4,10.65,
2,10.37,45.27,1,10.32,45.08,3,10.38,45.35,4,10.33,45.46,4,10.45,
2,9.67,54.94,1,9.77,54.85,3,9.69,55.04,4,9.75,55.21,5,9.85,
5,22.34,1:17.28,1,9.45,1:04.30,3,9.65,1:04.69,2,9.37,1:04.58,3,9.38,
5,25.92,1:43.20,1,9.73,1:14.03,4,9.74,1:14.43,3,9.53,1:14.11,2,9.41,
5,13.95,1:57.15,1,9.83,1:23.86,3,9.68,1:24.11,4,10.08,1:24.19,2,9.87,
4,11.38,2:08.512,1,10.02,1:33.88,3,9.96,1:34.07,4,10.03,1:34.22,2,10.01,
