Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME
2,7.06,7.06,3,7.29,7.29,1,7.05,7.05,4,7.46,7.46
1,9.22,16.28,3,9.20,16.49,2,9.33,16.38,4,9.62,17.08
1,8.65,24.93,3,8.66,25.15,2,8.69,25.07,4,9.24,26.32
1,8.85,33.78,2,8.90,34.05,3,9.10,34.17,4,9.60,35.92
1,9.20,42.975,2,9.40,43.443,3,9.54,43.703,4,10.02,45.935
