Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
0,9.789,9.789,0,10.059,10.059,0,10.571,10.571,0,11.078,11.078,0,10.501,10.501,0,10.249,10.249
0,14.467,24.256,0,14.382,24.441,0,14.329,24.900,0,14.071,25.148,0,14.232,24.733,0,14.168,24.417
0,13.799,38.055,0,13.742,38.182,0,13.740,38.640,0,13.234,38.382,0,13.761,38.494,0,13.510,37.927
0,13.849,51.904,0,13.560,51.742,0,13.398,52.037,0,13.679,52.061,0,13.480,51.974,0,13.340,51.267
0,11.912,1:03.816,0,12.069,1:03.811,0,11.632,1:03.670,0,12.147,1:04.208,0,12.095,1:04.069,0,12.683,1:03.949
0,10.936,1:14.752,0,10.807,1:14.618,0,11.267,1:14.936,0,10.355,1:14.562,0,10.385,1:14.453,0,10.946,1:14.895
0,10.757,1:25.509,0,10.497,1:25.115,0,10.558,1:25.494,0,10.451,1:25.014,0,10.661,1:25.114,0,10.497,1:25.392
0,9.890,1:35.398,0,9.981,1:35.096,0,10.087,1:35.581,0,10.127,1:35.141,0,9.799,1:34.913,0,10.225,1:35.617
0,9.732,1:45.131,0,9.872,1:44.968,0,9.827,1:45.408,0,10.447,1:45.588,0,9.994,1:44.907,0,9.566,1:45.183
0,9.586,1:54.717,0,9.472,1:54.439,0,9.445,1:54.853,0,9.431,1:55.019,0,9.451,1:54.358,0,9.442,1:54.625
0,9.091,2:03.808,0,9.116,2:03.555,0,9.225,2:04.078,0,8.866,2:03.885,0,9.156,2:03.514,0,9.353,2:03.978
0,8.994,2:12.803,0,8.966,2:12.521,0,8.950,2:13.028,0,8.728,2:12.612,0,8.805,2:12.319,0,8.731,2:12.709
0,8.768,2:21.571,0,8.798,2:21.319,0,9.352,2:22.380,0,8.836,2:21.449,0,8.873,2:21.191,0,9.125,2:21.833
0,8.770,2:30.340,0,9.140,2:30.459,0,9.639,2:32.019,0,8.769,2:30.218,0,9.034,2:30.226,0,9.717,2:31.550
