Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME
4,13.057,13.057,1,12.734,12.734,3,12.959,12.959,2,12.756,12.756
4,9.958,23.015,2,9.982,22.715,3,10.055,23.014,1,9.851,22.606
3,9.822,32.837,2,9.926,32.641,4,10.014,33.028,1,9.917,32.523
3,9.326,42.162,1,9.068,41.709,4,9.310,42.337,2,9.469,41.992
3,9.012,51.174,1,9.288,50.996,4,8.943,51.280,2,9.124,51.115
3,9.235,1:00.409,1,9.064,1:00.060,4,9.274,1:00.553,2,9.037,1:00.152
2,8.903,1:09.312,1,9.128,1:09.187,4,9.081,1:09.633,3,9.165,1:09.317
4,9.237,1:18.548,3,9.353,1:18.540,2,8.702,1:18.335,1,8.998,1:18.314
2,9.41,1:27.956,3,9.42,1:27.957,4,9.98,1:28.309,1,9.57,1:27.881
