LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
2,10.310,10.310,6,18.360,18.360,3,10.320,10.320,5,10.750,10.750,1,10.080,10.080,4,10.380,10.380
4,13.790,24.110,3,5.590,23.960,1,10.630,20.960,2,10.990,21.740,5,14.210,24.290,6,13.970,24.360
2,12.770,36.890,1,12.770,36.730,3,15.940,36.900,4,15.160,36.910,0,,,5,12.600,36.960
3,13.030,49.930,1,12.670,49.400,4,13.070,49.970,5,13.440,50.350,0,,,2,12.920,49.890
3,12.480,1:02.410,1,12.660,1:02.070,4,12.900,1:02.870,5,12.860,1:03.210,0,,,2,12.270,1:02.160
1,9.500,1:11.910,2,10.290,1:12.360,5,10.070,1:12.950,4,9.520,1:12.740,0,,,3,10.450,1:12.620
1,10.210,1:22.130,4,10.380,1:22.750,5,10.250,1:23.200,3,9.940,1:22.680,0,,,2,10.030,1:22.650
1,10.380,1:32.520,3,10.370,1:33.120,5,10.610,1:33.820,4,10.850,1:33.530,0,,,2,10.080,1:32.740
2,10.410,1:42.930,4,10.060,1:43.180,5,9.910,1:43.730,3,9.580,1:43.120,0,,,1,9.940,1:42.690
2,9.830,1:52.770,4,10.160,1:53.350,5,9.950,1:53.680,3,10.130,1:53.250,0,,,1,9.900,1:52.590
2,9.780,2:02.550,4,9.670,2:03.020,5,9.590,2:03.280,3,9.680,2:02.940,0,,,1,9.880,2:02.480
1,9.070,2:11.630,4,9.510,2:12.540,5,9.360,2:12.640,3,9.150,2:12.090,0,,,2,9.420,2:11.900
2,9.220,2:20.850,5,9.680,2:22.230,3,8.340,2:20.980,1,8.410,2:20.500,0,,,4,9.220,2:21.120
2,9.180,2:30.030,5,9.880,2:32.110,4,10.050,2:31.040,1,9.460,2:29.960,0,,,3,9.690,2:30.820
