Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME
1,13.26,13.26,3,13.96,13.96,4,15.08,15.08,2,13.40,13.40
2,11.03,24.30,4,17.00,30.97,3,15.69,30.77,1,10.70,24.11
2,10.35,34.65,4,10.15,41.12,3,10.14,40.92,1,10.29,34.40
2,10.61,45.27,4,9.85,50.98,3,9.96,50.88,1,10.66,45.06
2,10.87,56.15,4,10.75,1:01.73,3,10.68,1:01.57,1,10.95,56.02
2,10.84,1:06.99,3,10.60,1:12.34,4,10.83,1:12.40,1,10.93,1:06.95
2,11.19,1:18.18,3,10.87,1:23.22,4,12.21,1:24.61,1,11.19,1:18.15
2,11.20,1:29.38,4,11.13,1:34.36,3,9.44,1:34.06,1,10.97,1:29.12
0,,DQ,0,,DQ,2,11.43,1:45.490,1,10.93,1:40.041
