Didier OLICHON-PERREAULT POSITION,Didier OLICHON-PERREAULT LAP TIME,Didier OLICHON-PERREAULT ELAPSED TIME,Roderick OOSTEN POSITION,Roderick OOSTEN LAP TIME,Roderick OOSTEN ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME
2,12.747,12.747,4,12.970,12.970,5,13.113,13.113,1,12.613,12.613,3,12.814,12.814
3,9.832,22.579,4,9.769,22.739,5,9.678,22.790,2,9.806,22.418,1,9.519,22.333
4,9.944,32.523,3,9.697,32.436,5,9.858,32.647,2,9.921,32.338,1,9.846,32.179
5,9.956,42.479,3,9.918,42.354,4,9.799,42.446,2,9.835,42.173,1,9.893,42.071
5,9.845,52.323,4,9.916,52.269,3,9.712,52.157,2,9.786,51.959,1,9.776,51.847
5,9.820,1:02.143,4,9.773,1:02.042,2,9.496,1:01.653,3,9.759,1:01.717,1,9.596,1:01.443
4,10.125,1:12.268,5,10.532,1:12.574,1,9.165,1:10.817,2,9.536,1:11.253,3,9.848,1:11.291
4,10.575,1:22.843,5,10.393,1:22.967,1,10.092,1:20.909,3,10.033,1:21.286,2,9.981,1:21.271
4,10.88,1:33.720,5,10.89,1:33.853,1,10.24,1:31.143,3,10.44,1:31.723,2,10.33,1:31.600
