WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
1,9.92,9.92,2,10.04,10.04,3,10.16,10.16,4,10.36,10.36,5,10.59,10.59
1,14.78,24.70,2,14.79,24.83,3,14.80,24.96,4,14.79,25.15,5,14.73,25.32
1,13.88,38.58,2,13.86,38.69,3,13.83,38.79,4,13.83,38.98,5,13.81,39.13
1,13.19,51.77,2,13.18,51.87,3,13.21,52.00,5,13.19,52.17,4,12.97,52.10
2,11.40,1:03.17,3,11.38,1:03.25,4,11.40,1:03.40,5,11.39,1:03.56,1,10.97,1:03.07
2,10.74,1:13.91,3,10.73,1:13.98,4,10.71,1:14.11,5,10.64,1:14.20,1,10.75,1:13.82
2,10.55,1:24.46,3,10.56,1:24.54,4,10.55,1:24.66,5,10.55,1:24.75,1,10.58,1:24.40
1,9.94,1:34.40,3,10.00,1:34.54,4,9.99,1:34.65,5,10.05,1:34.80,2,10.05,1:34.45
3,9.49,1:43.89,1,9.34,1:43.88,4,9.47,1:44.12,5,9.45,1:44.25,2,9.44,1:43.89
3,8.96,1:52.85,1,8.77,1:52.65,4,8.84,1:52.96,5,8.80,1:53.05,2,8.86,1:52.75
2,9.06,2:01.91,3,9.28,2:01.93,4,9.04,2:02.00,5,8.96,2:02.01,1,9.06,2:01.81
2,8.86,2:10.77,3,8.90,2:10.83,5,9.35,2:11.35,4,9.16,2:11.17,1,8.81,2:10.62
3,8.84,2:19.61,2,8.66,2:19.49,5,9.01,2:20.36,4,8.89,2:20.06,1,8.84,2:19.46
3,8.95,2:28.561,1,8.77,2:28.261,5,9.24,2:29.593,4,9.05,2:29.106,2,9.00,2:28.452
