CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME
3,13.91,13.91,2,13.68,13.68,1,13.55,13.55,4,14.02,14.02
2,10.72,24.63,3,11.00,24.68,1,11.02,24.57,4,10.79,24.81
1,9.89,34.52,3,10.07,34.75,2,10.06,34.63,4,10.05,34.86
1,10.39,44.91,3,10.39,45.14,2,10.40,45.03,4,10.39,45.25
1,10.32,55.23,3,10.29,55.43,2,10.31,55.34,4,10.31,55.56
1,10.35,1:05.58,3,10.40,1:05.83,2,10.37,1:05.71,4,10.36,1:05.92
1,9.84,1:15.42,3,9.81,1:15.64,2,9.84,1:15.55,4,9.83,1:15.75
1,9.82,1:25.24,2,9.63,1:25.27,3,9.83,1:25.38,4,9.70,1:25.45
2,9.80,1:35.040,1,9.45,1:34.714,4,9.97,1:35.347,3,9.78,1:35.227
