Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,KIM Yong Su POSITION,KIM Yong Su LAP TIME,KIM Yong Su ELAPSED TIME,LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Alexander SEKISOV POSITION,Alexander SEKISOV LAP TIME,Alexander SEKISOV ELAPSED TIME
5,13.967,13.967,1,12.819,12.819,2,13.306,13.306,4,13.760,13.760,3,13.709,13.709
5,10.913,24.880,2,11.760,24.578,1,10.839,24.144,3,10.860,24.620,4,10.967,24.675
2,9.435,34.315,5,10.085,34.662,1,9.707,33.851,4,9.952,34.571,3,9.848,34.523
5,9.960,44.274,2,9.233,43.895,3,10.074,43.924,1,9.300,43.871,4,9.542,44.064
5,9.597,53.871,1,9.388,53.282,2,9.498,53.422,4,9.826,53.697,3,9.582,53.646
5,9.529,1:03.400,4,9.994,1:03.276,1,9.274,1:02.695,2,9.251,1:02.948,3,9.410,1:03.055
5,9.195,1:12.594,4,9.260,1:12.535,1,9.283,1:11.977,2,9.219,1:12.166,3,9.307,1:12.362
4,9.759,1:22.352,5,9.889,1:22.424,2,9.730,1:21.707,1,9.499,1:21.665,3,9.506,1:21.868
4,10.32,1:32.665,5,10.75,1:33.166,1,9.79,1:31.490,2,9.84,1:31.500,3,9.88,1:31.747
