Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
4,15.12,15.12,2,14.85,14.85,1,14.73,,3,14.94,14.94
4,11.20,26.32,2,11.22,26.07,1,11.21,,3,11.22,26.16
4,10.81,37.13,2,10.82,36.89,1,10.84,,3,10.80,36.96
4,10.16,47.29,2,9.72,46.61,3,9.96,,1,9.52,46.48
4,9.88,57.17,2,9.21,55.82,3,9.18,,1,9.27,55.75
4,10.10,1:07.27,2,9.09,1:04.91,3,9.12,,1,9.04,1:04.79
4,10.40,1:17.67,2,8.90,1:13.81,3,8.84,,1,8.89,1:13.68
4,10.52,1:28.19,2,9.05,1:22.86,3,9.09,,1,8.96,1:22.64
4,10.87,1:39.06,3,9.68,1:32.54,2,9.04,,1,9.18,1:31.82
