SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME
1,13.10,13.10,4,13.28,13.28,3,13.22,13.22,2,13.12,13.12,5,13.47,13.47
2,9.63,22.73,1,9.34,22.62,3,9.54,22.76,4,9.71,22.83,5,9.48,22.95
3,9.24,31.97,2,9.26,31.88,1,9.01,31.77,4,9.27,32.10,5,9.23,32.18
3,8.78,40.75,2,8.77,40.65,1,8.79,40.56,4,8.75,40.85,5,8.81,40.99
3,8.66,49.41,1,8.68,49.33,2,8.79,49.35,4,8.70,49.55,5,8.75,49.74
2,8.87,58.28,1,8.82,58.15,3,9.10,58.45,4,9.01,58.56,5,8.97,58.71
1,8.98,1:07.26,2,9.20,1:07.35,3,9.06,1:07.51,4,9.04,1:07.60,5,9.21,1:07.92
1,9.15,1:16.41,2,9.16,1:16.51,3,9.19,1:16.70,4,9.18,1:16.78,5,9.62,1:17.54
1,9.19,1:25.592,2,9.16,1:25.668,4,24.89,1:41.590,0,,PEN,3,9.90,1:27.433
