Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME
3,14.13,14.13,2,14.00,14.00,1,13.94,13.94,4,14.23,14.23,5,14.37,14.37
5,11.71,25.84,2,11.61,25.61,1,11.58,25.52,4,11.49,25.72,3,11.29,25.66
5,10.33,36.17,3,10.31,35.92,2,10.30,35.82,4,10.35,36.07,1,10.02,35.68
5,9.89,46.06,2,9.85,45.77,1,9.87,45.69,4,9.86,45.93,3,10.16,45.84
5,9.79,55.85,1,9.67,55.44,2,9.92,55.61,3,9.77,55.70,4,10.00,55.84
3,9.49,1:05.34,1,9.69,1:05.13,2,9.65,1:05.26,4,9.69,1:05.39,5,10.14,1:05.98
2,9.54,1:14.88,1,9.74,1:14.87,3,9.70,1:14.96,4,9.68,1:15.07,5,10.61,1:16.59
1,9.45,1:24.33,2,9.82,1:24.69,3,9.82,1:24.78,4,9.81,1:24.88,5,11.21,1:27.80
1,9.97,1:34.30,0,,PHOTO,4,10.04,1:34.813,0,,PHOTO,5,12.03,1:39.793
