Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Ashley Sook Hui CHIN POSITION,Ashley Sook Hui CHIN LAP TIME,Ashley Sook Hui CHIN ELAPSED TIME
4,16.11,16.11,1,15.83,15.83,2,15.91,15.91,3,15.98,15.98
4,11.87,27.98,1,11.81,27.64,2,11.82,27.73,3,11.86,27.84
4,11.33,39.31,1,11.35,38.99,2,11.35,39.08,3,11.38,39.22
4,10.56,49.87,2,10.66,49.65,1,10.47,49.55,3,10.63,49.85
1,9.74,59.61,2,10.07,59.72,3,10.38,59.93,4,10.36,1:00.21
1,9.60,1:09.21,2,10.03,1:09.75,3,10.39,1:10.32,4,10.53,1:10.74
1,9.91,1:19.12,2,10.16,1:19.91,3,10.83,1:21.15,4,10.81,1:21.55
1,10.22,1:29.34,2,10.42,1:30.33,3,10.95,1:32.10,4,11.21,1:32.76
1,10.57,1:39.896,2,10.70,1:41.007,3,11.13,1:43.202,4,11.52,1:44.264
