Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Morgan IZYKOWSKI POSITION,Morgan IZYKOWSKI LAP TIME,Morgan IZYKOWSKI ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
3,13.56,13.56,2,13.44,13.44,4,13.71,13.71,1,13.32,13.32
3,10.84,24.40,2,10.93,24.37,4,10.76,24.47,1,10.96,24.28
1,9.64,34.04,4,10.07,34.44,3,9.92,34.39,2,9.95,34.23
1,10.36,44.40,4,10.21,44.65,3,10.13,44.52,2,10.28,44.51
1,10.37,54.77,4,10.49,55.14,2,10.35,54.87,3,10.46,54.97
1,10.25,1:05.02,4,10.20,1:05.34,2,10.25,1:05.12,3,10.26,1:05.23
2,10.58,1:15.60,1,10.04,1:15.38,3,10.57,1:15.69,4,10.53,1:15.76
2,10.18,1:25.78,1,10.30,1:25.68,4,11.36,1:27.05,3,10.09,1:25.85
3,10.43,1:36.207,2,10.46,1:36.133,0,,PEN,1,10.11,1:35.955
