Haruna NAGAMORI POSITION,Haruna NAGAMORI LAP TIME,Haruna NAGAMORI ELAPSED TIME,SOMODI Maja POSITION,SOMODI Maja LAP TIME,SOMODI Maja ELAPSED TIME,BRUNELLE Florence POSITION,BRUNELLE Florence LAP TIME,BRUNELLE Florence ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,Yana KHAN POSITION,Yana KHAN LAP TIME,Yana KHAN ELAPSED TIME
1,13.43,13.43,2,13.51,13.51,3,13.68,13.68,4,13.79,13.79,5,13.93,13.93
1,10.10,23.53,2,10.15,23.66,3,10.08,23.76,4,10.06,23.85,5,10.04,23.97
1,10.13,33.66,2,10.09,33.75,3,10.11,33.87,4,10.13,33.98,5,10.11,34.08
1,10.00,43.66,2,9.99,43.74,3,9.98,43.85,4,9.98,43.96,5,9.98,44.06
1,9.75,53.41,2,9.77,53.51,3,9.74,53.59,4,9.74,53.70,5,9.74,53.80
1,9.86,1:03.27,2,9.85,1:03.36,3,9.82,1:03.41,4,9.83,1:03.53,5,9.80,1:03.60
3,9.94,1:13.21,4,9.93,1:13.29,1,9.37,1:12.78,2,9.37,1:12.90,5,9.76,1:13.36
3,10.01,1:23.22,4,9.98,1:23.27,1,9.47,1:22.25,2,9.46,1:22.36,5,10.02,1:23.38
5,10.28,1:33.508,3,9.72,1:32.993,1,9.63,1:31.88,2,9.63,1:31.99,4,9.79,1:33.178
