SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
4,7.41,7.41,2,7.08,7.08,3,7.10,7.10,1,7.05,7.05
4,9.10,16.51,2,9.17,16.25,3,9.23,16.33,1,8.94,15.99
3,8.54,25.05,2,8.80,25.05,4,8.75,25.08,1,8.70,24.69
1,8.50,33.55,3,8.96,34.01,4,9.10,34.18,2,8.88,33.57
1,8.66,42.210,3,8.91,42.913,4,8.91,43.081,2,8.98,42.541
