HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,12.47,12.47,2,12.60,12.60,3,12.69,12.69,4,12.85,12.85
1,9.51,21.98,2,9.50,22.10,3,9.51,22.20,4,9.44,22.29
1,9.23,31.21,2,9.21,31.31,3,9.19,31.39,4,9.22,31.51
1,9.29,40.50,2,9.19,40.50,3,9.25,40.64,4,9.27,40.78
1,9.11,49.61,2,9.11,49.61,3,9.11,49.75,4,9.08,49.86
1,8.88,58.49,4,9.34,58.95,2,8.97,58.72,3,8.89,58.75
1,8.85,1:07.34,4,9.13,1:08.08,3,8.87,1:07.59,2,8.71,1:07.46
1,8.88,1:16.22,4,9.50,1:17.58,3,8.82,1:16.41,2,8.83,1:16.29
1,8.91,1:25.121,4,10.56,1:28.133,3,8.88,1:25.289,2,8.97,1:25.260
