Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
1,6.79,6.79,3,7.07,7.07,2,6.93,6.93,4,7.23,7.23
1,9.15,15.94,3,9.06,16.13,2,9.11,16.04,4,9.07,16.30
1,8.76,24.70,3,8.66,24.79,2,8.70,24.74,4,8.73,25.03
3,9.01,33.71,2,8.78,33.57,1,8.68,33.42,4,8.82,33.85
3,8.97,42.674,2,9.05,42.620,1,8.90,42.318,4,9.06,42.908
