Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,WANG Yang-Chun POSITION,WANG Yang-Chun LAP TIME,WANG Yang-Chun ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME
1,6.89,6.89,3,7.30,7.30,2,7.00,7.00,4,7.54,7.54
1,9.74,16.63,3,9.91,17.21,2,9.71,16.71,4,9.94,17.48
2,9.09,25.72,3,9.54,26.75,1,8.79,25.50,4,9.47,26.95
2,9.21,34.93,3,9.77,36.52,1,9.06,34.56,4,9.63,36.58
2,9.56,44.487,3,10.06,46.572,1,9.24,43.799,4,10.04,46.614
