Aafke SOET POSITION,Aafke SOET LAP TIME,Aafke SOET ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Vira-Nika KHOMENKO POSITION,Vira-Nika KHOMENKO LAP TIME,Vira-Nika KHOMENKO ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME
1,7.36,7.36,2,7.45,7.45,4,8.40,8.40,3,7.56,7.56
1,9.60,16.96,2,9.68,17.13,4,10.30,18.70,3,10.20,17.76
4,22.34,39.30,1,9.87,27.00,3,9.90,28.60,2,9.38,27.14
4,13.27,52.57,2,10.22,37.22,3,10.26,38.86,1,9.84,36.98
3,12.25,1:04.817,0,,PEN,2,10.28,49.133,1,9.81,46.785
