KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME
2,13.44,13.44,5,13.66,13.66,4,13.57,13.57,1,13.24,13.24,3,13.45,13.45
2,17.63,31.07,4,17.73,31.39,5,17.96,31.53,1,17.62,30.86,3,17.81,31.26
2,15.05,46.12,3,14.84,46.23,5,15.01,46.54,1,15.08,45.94,4,15.18,46.44
3,14.06,1:00.18,1,13.91,1:00.14,5,13.95,1:00.49,4,14.30,1:00.24,2,13.74,1:00.18
2,12.35,1:12.53,1,12.34,1:12.48,5,12.35,1:12.84,4,12.46,1:12.70,3,12.45,1:12.63
4,11.11,1:23.64,1,11.06,1:23.54,5,10.88,1:23.72,2,10.91,1:23.61,3,10.99,1:23.62
4,10.49,1:34.13,2,10.40,1:33.94,5,10.48,1:34.20,1,10.32,1:33.93,3,10.46,1:34.08
2,10.30,1:44.43,1,10.45,1:44.39,5,10.48,1:44.68,3,10.52,1:44.45,4,10.48,1:44.56
2,9.36,1:53.79,1,9.22,1:53.61,5,9.44,1:54.12,3,9.54,1:53.99,4,9.45,1:54.01
2,9.07,2:02.86,1,9.15,2:02.76,3,9.16,2:03.28,5,9.52,2:03.51,4,9.47,2:03.48
2,9.26,2:12.12,1,9.26,2:12.02,3,9.07,2:12.35,5,9.39,2:12.90,4,9.17,2:12.65
1,9.28,2:21.40,3,9.56,2:21.58,2,9.20,2:21.55,5,9.60,2:22.50,4,9.17,2:21.82
1,9.25,2:30.65,3,9.76,2:31.34,2,9.29,2:30.84,5,10.09,2:32.59,4,9.53,2:31.35
2,9.32,2:39.964,4,9.66,2:40.991,1,9.12,2:39.957,5,10.42,2:43.009,3,9.32,2:40.670
