Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Dejan HORVACKI POSITION,Dejan HORVACKI LAP TIME,Dejan HORVACKI ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME
3,9.888,9.888,4,10.013,10.013,2,9.851,9.851,1,9.556,9.556,5,10.035,10.035,6,10.330,10.330
3,14.573,24.460,4,14.528,24.541,2,14.515,24.366,1,14.528,24.084,5,14.541,24.575,6,14.539,24.868
3,13.838,38.298,4,13.779,38.320,2,13.889,38.255,1,13.861,37.945,5,13.870,38.445,6,13.825,38.693
3,13.348,51.645,5,13.521,51.841,2,13.338,51.592,1,13.356,51.301,4,13.356,51.800,6,13.443,52.136
2,12.579,1:04.224,5,12.617,1:04.457,3,12.641,1:04.232,1,12.669,1:03.969,4,12.460,1:04.259,6,12.570,1:04.705
2,12.167,1:16.390,5,12.110,1:16.567,3,12.193,1:16.424,1,12.151,1:16.120,6,12.361,1:16.620,4,11.782,1:16.487
4,10.562,1:26.952,6,11.078,1:27.645,2,10.326,1:26.750,3,10.729,1:26.848,5,10.515,1:27.135,1,10.234,1:26.720
4,10.544,1:37.496,6,11.202,1:38.846,1,10.471,1:37.221,3,10.495,1:37.343,5,10.382,1:37.517,2,10.554,1:37.274
5,10.768,1:48.263,6,11.571,1:50.416,2,10.694,1:47.915,3,10.766,1:48.109,4,10.602,1:48.118,1,10.640,1:47.913
5,10.308,1:58.571,6,12.041,2:02.457,1,10.178,1:58.092,3,10.334,1:58.442,4,10.333,1:58.450,2,10.461,1:58.374
5,9.566,2:08.136,6,12.410,2:14.867,4,9.948,2:08.040,2,9.499,2:07.941,1,9.427,2:07.877,3,9.643,2:08.016
5,9.722,2:17.857,6,13.543,2:28.410,4,9.747,2:17.787,2,9.277,2:17.217,1,9.237,2:17.113,3,9.743,2:17.758
3,9.863,2:27.720,6,12.767,2:41.176,5,10.956,2:28.742,1,9.358,2:26.574,2,9.806,2:26.919,4,10.204,2:27.961
3,9.84,2:37.558,6,12.98,2:54.151,5,11.16,2:39.901,1,9.97,2:36.538,2,10.23,2:37.145,4,10.00,2:37.956
