Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Artsem ALIATDZINAU POSITION,Artsem ALIATDZINAU LAP TIME,Artsem ALIATDZINAU ELAPSED TIME,Sohan Sudhir TARKAR POSITION,Sohan Sudhir TARKAR LAP TIME,Sohan Sudhir TARKAR ELAPSED TIME
1,13.19,13.19,3,13.42,13.42,2,13.28,13.28,5,13.71,13.71,4,13.60,13.60
1,10.03,23.22,3,10.00,23.42,2,10.02,23.30,5,10.01,23.72,4,9.96,23.56
1,9.64,32.86,3,9.67,33.09,2,9.63,32.93,5,9.78,33.50,4,9.76,33.32
1,9.49,42.35,3,9.51,42.60,2,9.52,42.45,4,9.68,43.18,5,10.44,43.76
1,9.60,51.95,3,9.52,52.12,2,9.57,52.02,4,9.82,53.00,5,10.65,54.41
1,9.63,1:01.58,3,9.68,1:01.80,2,9.66,1:01.68,4,10.06,1:03.06,5,11.07,1:05.48
2,9.81,1:11.39,3,9.72,1:11.52,1,9.61,1:11.29,4,10.47,1:13.53,5,11.65,1:17.13
1,9.98,1:21.37,3,10.07,1:21.59,2,10.24,1:21.53,4,10.88,1:24.41,5,11.95,1:29.08
1,10.21,1:31.552,3,10.50,1:32.075,2,10.49,1:31.991,4,11.21,1:35.601,5,12.40,1:41.460
