Kristen BIONDO POSITION,Kristen BIONDO LAP TIME,Kristen BIONDO ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,LIU Ling-E POSITION,LIU Ling-E LAP TIME,LIU Ling-E ELAPSED TIME,Elizaveta IVLJEVA POSITION,Elizaveta IVLJEVA LAP TIME,Elizaveta IVLJEVA ELAPSED TIME
2,7.744,7.744,1,7.327,7.327,3,7.875,7.875,4,7.881,7.881,5,8.113,8.113
3,10.228,17.971,1,9.649,16.975,2,9.125,17.000,4,10.107,17.987,5,10.173,18.286
3,9.713,27.684,1,9.407,26.381,2,9.393,26.393,4,9.887,27.874,5,9.776,28.062
3,9.972,37.656,1,9.348,35.729,2,9.452,35.844,4,10.154,38.027,5,10.024,38.085
3,10.31,47.959,2,10.00,45.725,1,9.74,45.577,5,21.94,59.960,4,11.02,49.099
