Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,Simon FRANCIS POSITION,Simon FRANCIS LAP TIME,Simon FRANCIS ELAPSED TIME
1,7.06,7.06,3,7.40,7.40,2,7.17,7.17,4,7.47,7.47,5,7.49,7.49
1,9.07,16.13,3,8.91,16.31,2,9.05,16.22,5,9.40,16.87,4,9.10,16.59
1,8.39,24.52,2,8.33,24.64,3,8.46,24.68,5,8.64,25.51,4,8.66,25.25
1,8.51,33.03,2,8.46,33.10,3,8.64,33.32,5,8.68,34.19,4,8.84,34.09
2,8.79,41.82,1,8.64,41.74,3,8.88,42.198,4,8.94,43.138,5,9.19,43.282
