Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,6.87,6.87,2,7.02,7.02,3,7.18,7.18,4,7.18,7.18
1,8.91,15.78,2,8.84,15.86,3,8.94,16.12,4,9.03,16.21
1,8.37,24.15,2,8.34,24.20,3,8.50,24.62,4,8.56,24.77
1,8.56,32.71,2,8.52,32.72,3,8.62,33.24,4,8.58,33.35
2,8.77,41.475,1,8.52,41.240,4,9.10,42.333,3,8.72,42.067
