Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME
1,12.97,12.97,3,13.25,13.25,2,13.10,13.10,4,13.37,13.37
1,10.06,23.03,3,10.06,23.31,2,10.04,23.14,4,10.05,23.42
1,10.06,33.09,4,10.04,33.35,2,10.06,33.20,3,9.90,33.32
2,10.08,43.17,4,10.01,43.36,1,9.95,43.15,3,10.00,43.32
2,9.91,53.08,3,9.80,53.16,1,9.86,53.01,4,9.85,53.17
4,10.28,1:03.36,2,9.94,1:03.10,1,9.96,1:02.97,3,10.10,1:03.27
4,9.90,1:13.26,2,9.97,1:13.07,1,9.96,1:12.93,3,9.89,1:13.16
4,10.30,1:23.56,2,10.21,1:23.28,1,10.26,1:23.19,3,10.25,1:23.41
4,10.67,1:34.226,2,10.41,1:33.689,1,10.47,1:33.653,3,10.40,1:33.807
