Adam CALLISTER POSITION,Adam CALLISTER LAP TIME,Adam CALLISTER ELAPSED TIME,LI Kongchao POSITION,LI Kongchao LAP TIME,LI Kongchao ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
4,14.58,14.58,2,14.46,14.46,1,14.30,14.30,3,14.57,14.57
1,10.24,24.82,2,10.49,24.95,4,10.84,25.14,3,10.48,25.05
1,10.32,35.14,2,10.30,35.25,4,10.23,35.37,3,10.23,35.28
3,10.05,45.19,4,10.01,45.26,1,9.61,44.98,2,9.80,45.08
4,9.51,54.70,3,9.27,54.53,2,9.39,54.37,1,9.22,54.30
4,9.32,1:04.02,3,9.37,1:03.90,2,9.41,1:03.78,1,9.40,1:03.70
4,9.10,1:13.12,3,9.09,1:12.99,2,9.11,1:12.89,1,9.09,1:12.79
4,8.99,1:22.11,3,8.95,1:21.94,2,8.90,1:21.79,1,8.99,1:21.78
4,9.46,1:31.571,2,8.83,1:30.770,1,8.95,1:30.74,3,9.06,1:30.845
