CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
4,7.69,7.69,2,7.37,7.37,1,7.22,7.22,3,7.53,7.53,5,7.81,7.81,6,7.93,7.93
4,9.23,16.92,2,9.31,16.68,1,9.40,16.62,3,9.24,16.77,5,9.36,17.17,6,9.33,17.26
3,8.82,25.74,2,9.02,25.70,1,9.01,25.63,4,9.01,25.78,5,8.74,25.91,6,8.78,26.04
1,8.77,34.51,3,9.12,34.82,2,9.17,34.80,6,9.34,35.12,4,9.06,34.97,5,9.03,35.07
1,9.17,43.68,2,9.04,43.86,3,9.40,44.185,6,9.54,44.640,4,9.34,44.291,5,9.50,44.557
