LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
1,6.61,6.61,3,6.89,6.89,2,6.80,6.80,4,7.08,7.08
1,9.14,15.75,4,9.46,16.35,2,9.22,16.02,3,9.16,16.25
1,8.90,24.65,4,9.03,25.39,2,8.73,24.75,3,8.77,25.03
2,8.95,33.61,4,9.06,34.46,1,8.80,33.56,3,8.77,33.81
2,9.29,42.898,4,9.47,43.929,1,9.24,42.797,3,9.10,42.907
