Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,13.57,13.57,4,13.65,13.65,2,13.43,13.43,1,13.28,13.28
2,9.88,23.45,4,9.99,23.64,3,10.03,23.46,1,10.08,23.36
3,9.58,33.03,4,9.47,33.11,1,9.35,32.81,2,9.55,32.91
2,9.00,42.03,4,9.06,42.17,1,9.16,41.97,3,9.14,42.05
2,9.13,51.16,4,9.17,51.34,1,9.06,51.03,3,9.21,51.26
1,8.64,59.80,4,8.77,1:00.11,2,8.89,59.92,3,8.75,1:00.01
1,8.71,1:08.51,4,8.65,1:08.76,2,8.66,1:08.58,3,8.66,1:08.67
1,8.85,1:17.36,4,8.82,1:17.58,2,8.89,1:17.47,3,8.85,1:17.52
1,8.92,1:26.272,2,8.76,1:26.339,3,9.00,1:26.468,4,9.08,1:26.598
