Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
2,6.966,6.966,1,6.935,6.935,3,7.081,7.081,4,7.492,7.492
1,9.327,16.294,3,9.437,16.372,2,9.249,16.330,4,9.284,16.775
2,9.022,25.315,3,9.152,25.524,1,8.831,25.161,4,9.049,25.824
2,8.998,34.313,4,9.376,34.900,1,8.770,33.930,3,9.022,34.846
2,9.220,43.533,4,9.825,44.725,1,9.165,43.095,3,9.390,44.236
